Name,locus,annot,period_WT,period_toc1,dperiod,amp_WT,WT1pMMC,WT2pMMC,T1pMMC,T2pMMC,rhythmic_WT,rhythmic_toc1,period_class,does_not_shorten
250430_at,AT5G10460,haloacid dehalogenase-like hydrolase family protein,23.25,23.25,0.0,0.9183917702183799,0.0159,0.009,0.0523,0.0278,True,True,invariant,True
256430_at,AT3G11020,DREB2B (DRE-binding protein 2B); DNA binding / transcription activator/ transcription factor,22.75,22.75,0.0,1.32966768498555,0.006,0.0533,0.0151,0.0503,True,True,invariant,True
264207_at,AT1G22750,similar to unnamed protein product [Vitis vinifera] (GB:CAO67528.1); contains InterPro domain Protein of unknown function DUF1475 (InterPro:IPR009943),24.1,24.1,0.0,0.7453323319212544,0.0125,0.0226,0.0056,0.0174,True,True,invariant,True
255690_at,AT4G00360,CYP86A2 (ABERRANT INDUCTION OF TYPE THREE GENES 1); oxygen binding,23.85,23.9,0.04999999999999716,1.1130912087310296,0.0258,0.0927,0.0665,0.0883,True,True,invariant,True
251531_at,AT3G58550,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,22.9,22.95,0.05000000000000071,3.4050372426166597,0.0756,0.058,0.0797,0.0366,True,True,invariant,True
253268_s_at,AT4G34131;AT4G34135,"[AT4G34131, UGT73B3 (UDP-GLUCOSYL TRANSFERASE 73B3); UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ transferase, transferring hexosyl groups];[AT4G34135, UGT73B2; UDP-glucosyltransferase/ UDP-glycosyltransferase/ flavonol 3-O-glucosyltransferase]",21.15,21.2,0.05000000000000071,1.1756093064136248,0.0317,0.0783,0.0892,0.0844,True,True,invariant,True
250207_at,AT5G13930,ATCHS/CHS/TT4 (CHALCONE SYNTHASE); naringenin-chalcone synthase,25.15,25.200000000000003,0.05000000000000426,1.7817453724895005,0.0097,0.0118,0.0538,0.0483,True,True,invariant,True
260668_at,AT1G19530,similar to unnamed protein product [Vitis vinifera] (GB:CAO61141.1),23.200000000000003,23.299999999999997,0.09999999999999432,3.6321864881395047,0.0159,0.0145,0.0192,0.0649,True,True,invariant,True
263437_at,AT2G28670,disease resistance-responsive family protein / fibroin-related,24.2,24.299999999999997,0.09999999999999787,3.025476737299445,0.0457,0.0313,0.0623,0.0893,True,True,invariant,True
250096_at,AT5G17190,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G03160.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42347.1),23.05,23.15,0.09999999999999787,1.16640626134794,0.074,0.0285,0.0263,0.094,True,True,invariant,True
249393_at,AT5G40170,disease resistance family protein,23.35,23.5,0.14999999999999858,0.8553797332284852,0.0168,0.0183,0.028,0.0158,True,True,invariant,True
251642_at,AT3G57520,"ATSIP2 (ARABIDOPSIS THALIANA SEED IMBIBITION 2); hydrolase, hydrolyzing O-glycosyl compounds",22.8,22.95,0.14999999999999858,2.620767789796825,0.032,0.0221,0.0565,0.0276,True,True,invariant,True
258921_at,AT3G10500,ANAC053 (Arabidopsis NAC domain containing protein 53); transcription factor,21.15,21.3,0.15000000000000213,0.8235155098280305,0.0558,0.0602,0.0646,0.0835,True,True,invariant,True
263460_at,AT2G31810,"acetolactate synthase small subunit, putative",23.25,23.450000000000003,0.20000000000000284,1.0071293959456047,0.0181,0.0477,0.0435,0.0892,True,True,invariant,True
246554_at,AT5G15450,APG6/CLPB-P/CLPB3 (ALBINO AND PALE GREEN 6); ATP binding / ATPase,23.15,23.35,0.20000000000000284,1.9304404283265049,0.0051,0.0135,0.0209,0.0106,True,True,invariant,True
258196_at,AT3G13980,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G54200.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN69469.1),24.9,25.1,0.20000000000000284,2.051710091934605,0.0086,0.0126,0.0161,0.0448,True,True,invariant,True
263985_at,AT2G42750,DNAJ heat shock N-terminal domain-containing protein,23.450000000000003,23.700000000000003,0.25,1.74809277269244,0.0118,0.0124,0.0167,0.0338,True,True,invariant,True
247147_at,AT5G65630,GTE7 (GLOBAL TRANSCRIPTION FACTOR GROUP E 7); DNA binding,23.35,23.6,0.25,0.69169754124212,0.0091,0.0158,0.023,0.0112,True,True,invariant,True
253281_at,AT4G34138,UGT73B1 (UDP-GLUCOSYL TRANSFERASE 73B1); UDP-glycosyltransferase/ abscisic acid glucosyltransferase,22.299999999999997,22.55,0.25000000000000355,1.9394229129493303,0.0354,0.0408,0.0581,0.0416,True,True,invariant,True
265900_at,AT2G25730,binding / heme binding,23.35,23.65,0.29999999999999716,1.9009450287261846,0.0073,0.0105,0.0101,0.0182,True,True,invariant,True
260322_at,AT1G63900,zinc finger (C3HC4-type RING finger) family protein,24.75,25.049999999999997,0.29999999999999716,0.6888361213769607,0.0262,0.0461,0.0456,0.0932,True,True,invariant,True
253693_at,AT4G29670,thioredoxin family protein,24.1,24.4,0.29999999999999716,0.6641364135572205,0.0303,0.0557,0.0436,0.0168,True,True,invariant,True
